"","V1","V2","V3","V4"
"1",0.00101315626602536,0.00685593220338984,1,1
"2",0.00483735525432746,0.0364350282485876,1,2
"3",0.00914667768842318,0.061183615819209,1,3
"4",0.0130540846698878,0.0897768361581921,1,4
"5",0.0180380446631973,0.124344632768362,1,5
"6",0.0216740858188567,0.155426553672316,1,6
"7",0.0253810692671831,0.185655367231638,1,7
"8",0.0305187334158896,0.218395480225989,1,8
"9",0.0345945162014307,0.244779661016949,1,9
"10",0.0384680029753586,0.272988700564972,1,10
"11",0.0425935529741163,0.29871186440678,1,11
"12",0.0476378130664314,0.331782485875706,1,12
"13",0.0514672489403757,0.360189265536723,1,13
"14",0.0556603767009461,0.384929378531073,1,14
"15",0.0606617950435069,0.418,1,15
"16",0.0650119574368205,0.44054802259887,1,16
"17",0.0688961954746522,0.467624293785311,1,17
"18",0.0740034412552601,0.49854802259887,1,18
"19",0.0782355559529654,0.521782485875706,1,19
"20",0.0826103701887708,0.543002824858757,1,20
"21",0.0869080630004829,0.564872881355932,1,21
"22",0.0923642731000689,0.591271186440678,1,22
"23",0.096797427582269,0.611319209039548,1,23
"24",0.100922441456499,0.634203389830508,1,24
"25",0.105865529671631,0.665129943502825,1,25
"26",0.109959092435616,0.68785593220339,1,26
"27",0.114196131865125,0.709237288135594,1,27
"28",0.119152116474179,0.739141242937853,1,28
"29",0.123245707689678,0.761528248587571,1,29
"30",0.127388323344129,0.782901129943503,1,30
"31",0.148580929746677,0.810963276836158,1,31
"32",0.196771384202156,0.844700564971751,1,32
"33",0.2351572307452,0.867254237288136,1,33
"34",0.341737797754234,0.896327683615819,1,34
"35",0.473592147160121,0.925723163841808,1,35
"36",0.594806491885184,0.946618644067797,1,36
"37",0.706239207768241,0.963463276836158,1,37
"38",0.799784623450003,0.975988700564972,1,38
"39",0.867411714258092,0.986494350282486,1,39
"40",0.925864001209665,0.992827683615819,1,40
"41",0.934454302548397,0.994661016949153,1,41
"42",0.97567225743049,0.997166666666667,1,42
"43",0.991957186544342,0.998833333333333,1,43
"44",1,1,1,44
"45",1,1,1,45
"46",1,1,1,46
"47",1,1,1,47
"48",1,1,1,48
"49",1,1,1,49
"50",1,1,1,50
"51",1,1,1,51
"52",1,1,1,52
"53",1,1,1,53
"54",1,1,1,54
"55",1,1,1,55
"56",1,1,1,56
"57",1,1,1,57
"58",1,1,1,58
"59",1,1,1,59
"60",1,1,1,60
"61",1,1,1,61
"62",1,1,1,62
"63",1,1,1,63
"64",1,1,1,64
"65",1,1,1,65
"66",1,1,1,66
"67",1,1,1,67
"68",1,1,1,68
"69",1,1,1,69
"70",1,1,1,70
"71",1,1,1,71
"72",1,1,1,72
"73",1,1,1,73
"74",1,1,1,74
"75",1,1,1,75
"76",1,1,1,76
"77",1,1,1,77
"78",1,1,1,78
"79",1,1,1,79
"80",1,1,1,80
"81",1,1,1,81
"82",1,1,1,82
"83",1,1,1,83
"84",1,1,1,84
"85",1,1,1,85
"86",1,1,1,86
"87",1,1,1,87
"88",1,1,1,88
"89",1,1,1,89
"90",1,1,1,90
"91",1,1,1,91
"92",1,1,1,92
"93",1,1,1,93
"94",1,1,1,94
"95",1,1,1,95
"96",1,1,1,96
"97",1,1,1,97
"98",1,1,1,98
"99",1,1,1,99
"100",1,1,1,100
"101",1,1,1,101
"102",1,1,1,102
"103",1,1,1,103
"104",1,1,1,104
"105",1,1,1,105
"106",1,1,1,106
"107",1,1,1,107
"108",1,1,1,108
"109",1,1,1,109
"110",1,1,1,110
"111",1,1,1,111
"112",1,1,1,112
"113",1,1,1,113
