"V1","V2","V3"
0.000939737565686788,0.0049264925979764,"Baseline (EN Max)"
0.0050238137009182,0.0228304195967672,"Baseline (EN Max)"
0.00920861343174921,0.0401261601391572,"Baseline (EN Max)"
0.0136763096845403,0.0558023544672477,"Baseline (EN Max)"
0.0193238419745789,0.0750010654089815,"Baseline (EN Max)"
0.0234326814751341,0.0924926186703985,"Baseline (EN Max)"
0.0278634954784874,0.108182130477933,"Baseline (EN Max)"
0.0332378565042109,0.128588856506364,"Baseline (EN Max)"
0.037060326596225,0.147517192756515,"Baseline (EN Max)"
0.0415059289222753,0.162893366470299,"Baseline (EN Max)"
0.0457114909688418,0.179593000539797,"Baseline (EN Max)"
0.0507969670182409,0.201331310899868,"Baseline (EN Max)"
0.0550095060072576,0.217722905389897,"Baseline (EN Max)"
0.05932295035808,0.233411450901823,"Baseline (EN Max)"
0.0645236712978352,0.254036547491536,"Baseline (EN Max)"
0.0687322228820359,0.270237528583755,"Baseline (EN Max)"
0.072880511405305,0.286641519364697,"Baseline (EN Max)"
0.0783571673223923,0.305343343066686,"Baseline (EN Max)"
0.0826910502364509,0.320346933807887,"Baseline (EN Max)"
0.0870760164685809,0.335032239659375,"Baseline (EN Max)"
0.0914675193520694,0.349514513906156,"Baseline (EN Max)"
0.0968235480645202,0.368223406375984,"Baseline (EN Max)"
0.101227542457492,0.382412960687243,"Baseline (EN Max)"
0.105722728786461,0.395987133511636,"Baseline (EN Max)"
0.11129425592127,0.412898866903838,"Baseline (EN Max)"
0.115422614938674,0.428406814994039,"Baseline (EN Max)"
0.119771201355778,0.442290245581206,"Baseline (EN Max)"
0.125173881673505,0.459803095997849,"Baseline (EN Max)"
0.128940407721483,0.476915206212132,"Baseline (EN Max)"
0.133427218237552,0.489816080354354,"Baseline (EN Max)"
0.137674219492196,0.504105718424514,"Baseline (EN Max)"
0.143141401397346,0.520714444040659,"Baseline (EN Max)"
0.147417470833055,0.534394785722787,"Baseline (EN Max)"
0.151665635433169,0.548088422968375,"Baseline (EN Max)"
0.157229718565744,0.563594201402836,"Baseline (EN Max)"
0.161607333794049,0.576368354277044,"Baseline (EN Max)"
0.165918403157532,0.589444610448053,"Baseline (EN Max)"
0.169860344948356,0.604331008193655,"Baseline (EN Max)"
0.174702461305342,0.623559194990086,"Baseline (EN Max)"
0.178609846831399,0.638552768453523,"Baseline (EN Max)"
0.183009462468434,0.650314695742402,"Baseline (EN Max)"
0.188006263295043,0.668020284132084,"Baseline (EN Max)"
0.192330183418359,0.680204577305774,"Baseline (EN Max)"
0.196342366085894,0.694183799997663,"Baseline (EN Max)"
0.201535436695917,0.710183495883514,"Baseline (EN Max)"
0.221662833574532,0.727690263804678,"Baseline (EN Max)"
0.225673657976691,0.740361363822318,"Baseline (EN Max)"
0.229932633839654,0.751314222118088,"Baseline (EN Max)"
0.258427495134825,0.773239254952215,"Baseline (EN Max)"
0.277842263910408,0.789461506156664,"Baseline (EN Max)"
0.320157758167761,0.811623122318281,"Baseline (EN Max)"
0.393763454301206,0.841873911426489,"Baseline (EN Max)"
0.427434496672162,0.85928011697025,"Baseline (EN Max)"
0.514586701559469,0.882722217121776,"Baseline (EN Max)"
0.586017357965159,0.90358100976098,"Baseline (EN Max)"
0.670735026332242,0.926443145743146,"Baseline (EN Max)"
0.746947154182884,0.946812904555762,"Baseline (EN Max)"
0.85201111634358,0.969627417027417,"Baseline (EN Max)"
0.911835021584594,0.982377963306535,"Baseline (EN Max)"
0.956113801599304,0.991865306122449,"Baseline (EN Max)"
0.985534290271132,0.997073469387755,"Baseline (EN Max)"
0.992829888712242,0.9985,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
0.00117931826389573,0.00361935941043084,"Baseline (EN Mean)"
0.0056146275895805,0.0196098639455782,"Baseline (EN Mean)"
0.0101882151382934,0.0347869434137291,"Baseline (EN Mean)"
0.0146019621696615,0.050772335600907,"Baseline (EN Mean)"
0.019753705489536,0.0726913961038961,"Baseline (EN Mean)"
0.0237967047920359,0.090588066893424,"Baseline (EN Mean)"
0.027943713529873,0.107875458668316,"Baseline (EN Mean)"
0.033037877065773,0.129906764069264,"Baseline (EN Mean)"
0.03722964564106,0.146791037930324,"Baseline (EN Mean)"
0.0415986931593471,0.162674198618841,"Baseline (EN Mean)"
0.0460952172377976,0.177750265409194,"Baseline (EN Mean)"
0.0511895909407373,0.199470923520924,"Baseline (EN Mean)"
0.0554180072368147,0.215850927643785,"Baseline (EN Mean)"
0.0597552244940973,0.23153303700268,"Baseline (EN Mean)"
0.0654053728462279,0.249820217480932,"Baseline (EN Mean)"
0.0699388950101539,0.264306555349412,"Baseline (EN Mean)"
0.0743354190894159,0.279383676046176,"Baseline (EN Mean)"
0.0796455035825667,0.299199726860441,"Baseline (EN Mean)"
0.0839223711995483,0.314784972170687,"Baseline (EN Mean)"
0.088371664965379,0.329265143784787,"Baseline (EN Mean)"
0.0925655582196707,0.345046284271284,"Baseline (EN Mean)"
0.0981381670498245,0.362535588023088,"Baseline (EN Mean)"
0.102456006120984,0.377212814368172,"Baseline (EN Mean)"
0.107026599079493,0.390377901463616,"Baseline (EN Mean)"
0.112682827632375,0.406848752834467,"Baseline (EN Mean)"
0.116910060391273,0.421535995155638,"Baseline (EN Mean)"
0.121137690066988,0.436111160070088,"Baseline (EN Mean)"
0.126563883864158,0.453496382189239,"Baseline (EN Mean)"
0.130972020872024,0.46686127860235,"Baseline (EN Mean)"
0.135001735863618,0.482545575654504,"Baseline (EN Mean)"
0.139306112973837,0.496415586992373,"Baseline (EN Mean)"
0.144635709888775,0.513704934549578,"Baseline (EN Mean)"
0.148808346285472,0.527777867965368,"Baseline (EN Mean)"
0.153058617117002,0.541558923417852,"Baseline (EN Mean)"
0.158209055172919,0.559648103483818,"Baseline (EN Mean)"
0.162552275002039,0.572315166975881,"Baseline (EN Mean)"
0.166636264954286,0.586786185837972,"Baseline (EN Mean)"
0.170758265945126,0.600647041847042,"Baseline (EN Mean)"
0.176103428571126,0.617129233663162,"Baseline (EN Mean)"
0.180257126084867,0.630697222222223,"Baseline (EN Mean)"
0.184556115482192,0.642954017212946,"Baseline (EN Mean)"
0.189717065911583,0.659844374871161,"Baseline (EN Mean)"
0.193751912067338,0.673716403834261,"Baseline (EN Mean)"
0.197828868245531,0.686982245928675,"Baseline (EN Mean)"
0.202749418347073,0.704759263553907,"Baseline (EN Mean)"
0.206597307657652,0.719524054318697,"Baseline (EN Mean)"
0.210604505658773,0.732684930942074,"Baseline (EN Mean)"
0.214423278093629,0.747261000309215,"Baseline (EN Mean)"
0.258683975925228,0.77339794887652,"Baseline (EN Mean)"
0.285747230150433,0.792126051329623,"Baseline (EN Mean)"
0.343999333151755,0.81482840651412,"Baseline (EN Mean)"
0.401576533114131,0.843526868171511,"Baseline (EN Mean)"
0.504470337157471,0.872378465780252,"Baseline (EN Mean)"
0.6364214453383,0.907421364151721,"Baseline (EN Mean)"
0.72902800457761,0.935111729540301,"Baseline (EN Mean)"
0.790410409052888,0.952113028241599,"Baseline (EN Mean)"
0.866060175201532,0.970175757575757,"Baseline (EN Mean)"
0.918869648867485,0.980712121212121,"Baseline (EN Mean)"
0.96355910390777,0.990144444444444,"Baseline (EN Mean)"
0.985426700636943,0.996888888888889,"Baseline (EN Mean)"
0.985500606612072,0.997089898989899,"Baseline (EN Mean)"
0.985580123344455,0.997591919191919,"Baseline (EN Mean)"
0.992868462757528,0.9986,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
