"V1","V2","V3"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
0.00154592020182372,0.00167796610169492,"Baseline (EN Mean)"
0.00771212415931342,0.00852824858757063,"Baseline (EN Mean)"
0.0139986030308924,0.0142118644067797,"Baseline (EN Mean)"
0.0201819301751221,0.0208898305084746,"Baseline (EN Mean)"
0.0278597195451892,0.0297542372881356,"Baseline (EN Mean)"
0.0341461394729241,0.0354322033898305,"Baseline (EN Mean)"
0.0402437622676875,0.0429632768361582,"Baseline (EN Mean)"
0.048247923703088,0.0486525423728813,"Baseline (EN Mean)"
0.05422524211184,0.0573474576271186,"Baseline (EN Mean)"
0.0604602335355106,0.0635367231638417,"Baseline (EN Mean)"
0.0667124070897656,0.0695593220338982,"Baseline (EN Mean)"
0.0746134167978167,0.0762429378531073,"Baseline (EN Mean)"
0.0808140439603189,0.0827655367231638,"Baseline (EN Mean)"
0.0869287604699002,0.0901214689265536,"Baseline (EN Mean)"
0.0944518222489433,0.100477401129943,"Baseline (EN Mean)"
0.100755453779184,0.105991525423729,"Baseline (EN Mean)"
0.106938898811102,0.112680790960452,"Baseline (EN Mean)"
0.114771209468739,0.120033898305085,"Baseline (EN Mean)"
0.138413821152588,0.145372881355932,"Baseline (EN Mean)"
0.153122108067644,0.161392655367232,"Baseline (EN Mean)"
0.193601292049065,0.204079096045198,"Baseline (EN Mean)"
0.338213382610387,0.348169491525424,"Baseline (EN Mean)"
0.479974683618916,0.483090395480226,"Baseline (EN Mean)"
0.729282181865337,0.72995197740113,"Baseline (EN Mean)"
0.865627280389972,0.868737288135593,"Baseline (EN Mean)"
0.950017182130584,0.950833333333333,"Baseline (EN Mean)"
0.991821305841924,0.991,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
0.00159755521120508,0.00116666666666667,"Baseline (RR Max)"
0.00781621989655112,0.00752552113773622,"Baseline (RR Max)"
0.0138972801776131,0.0152035846483538,"Baseline (RR Max)"
0.0201673734679546,0.0210510422754724,"Baseline (RR Max)"
0.0861630243206338,0.0882121566335477,"Baseline (RR Max)"
0.294652822776289,0.29853409312293,"Baseline (RR Max)"
0.654327777250244,0.65701724137931,"Baseline (RR Max)"
0.980910652920962,0.9815,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
