"","V1","V2","V3"
"1",0,0,"Limit Shapes Class 1"
"2",0.00166292093257589,0.00838215061065295,"Limit Shapes Class 1"
"3",0.00166292093257589,0.00838215061065295,"Limit Shapes Class 1"
"4",0.00183647022751687,0.00849851184715234,"Limit Shapes Class 1"
"5",0.00280370538519656,0.00956743261581929,"Limit Shapes Class 1"
"6",0.00376029362331657,0.0109078532672469,"Limit Shapes Class 1"
"7",0.00470593398734737,0.0124508108367979,"Limit Shapes Class 1"
"8",0.00565090698740204,0.0140433197322525,"Limit Shapes Class 1"
"9",0.00659358275003569,0.015654061640782,"Limit Shapes Class 1"
"10",0.00771076660121949,0.0178496152097692,"Limit Shapes Class 1"
"11",0.00864264793666014,0.0196598353149627,"Limit Shapes Class 1"
"12",0.00956358502317778,0.0217144543082894,"Limit Shapes Class 1"
"13",0.0104857970606977,0.0237269237572313,"Limit Shapes Class 1"
"14",0.0114130918748054,0.0256803219444512,"Limit Shapes Class 1"
"15",0.0123361446043265,0.027700852703779,"Limit Shapes Class 1"
"16",0.0132568978811214,0.0297415496832347,"Limit Shapes Class 1"
"17",0.0143475938190986,0.0325131200283993,"Limit Shapes Class 1"
"18",0.0152536420532979,0.0348680580100093,"Limit Shapes Class 1"
"19",0.0161522800748036,0.0373587060589738,"Limit Shapes Class 1"
"20",0.0170682602450978,0.0394904929045371,"Limit Shapes Class 1"
"21",0.017971163093833,0.0418983471926745,"Limit Shapes Class 1"
"22",0.0188743902083542,0.0443037653027761,"Limit Shapes Class 1"
"23",0.0197777879466281,0.0466945628311232,"Limit Shapes Class 1"
"24",0.0206872776440182,0.0489978322496267,"Limit Shapes Class 1"
"25",0.0217806379648395,0.0517103873248651,"Limit Shapes Class 1"
"26",0.022687020270565,0.0540998730530247,"Limit Shapes Class 1"
"27",0.023595839782081,0.0563727684354696,"Limit Shapes Class 1"
"28",0.0245026802956122,0.0587353321861028,"Limit Shapes Class 1"
"29",0.0254039687932775,0.0611504114897439,"Limit Shapes Class 1"
"30",0.0263124712399344,0.0634983898465521,"Limit Shapes Class 1"
"31",0.0272140890617175,0.0659240867585872,"Limit Shapes Class 1"
"32",0.0282962713417712,0.0688677270881133,"Limit Shapes Class 1"
"33",0.0291969100059065,0.0713174362547234,"Limit Shapes Class 1"
"34",0.0300931397060082,0.0738950308740752,"Limit Shapes Class 1"
"35",0.0309903329448093,0.0764300446735552,"Limit Shapes Class 1"
"36",0.0318857432480731,0.0789819671404355,"Limit Shapes Class 1"
"37",0.0327922965248127,0.0813652464580821,"Limit Shapes Class 1"
"38",0.0336985190479877,0.0837387812289472,"Limit Shapes Class 1"
"39",0.0347817448498873,0.0866427722168445,"Limit Shapes Class 1"
"40",0.0356838681727799,0.0890799583686445,"Limit Shapes Class 1"
"41",0.0365812229038022,0.0916303694232756,"Limit Shapes Class 1"
"42",0.0374777861298869,0.0941777306195685,"Limit Shapes Class 1"
"43",0.0383743525822449,0.0967364766574901,"Limit Shapes Class 1"
"44",0.0392691264588629,0.0993453054965577,"Limit Shapes Class 1"
"45",0.0401659930904221,0.101887715017797,"Limit Shapes Class 1"
"46",0.0410695664272007,0.104293993806867,"Limit Shapes Class 1"
"47",0.0421538990875302,0.107192842362812,"Limit Shapes Class 1"
"48",0.04305159385724,0.109700239181186,"Limit Shapes Class 1"
"49",0.0439579620618524,0.112060870370386,"Limit Shapes Class 1"
"50",0.0448512595528543,0.114691714585523,"Limit Shapes Class 1"
"51",0.04575258272162,0.117144033520391,"Limit Shapes Class 1"
"52",0.046645574138221,0.119812195113418,"Limit Shapes Class 1"
"53",0.0475367423324543,0.122481638054759,"Limit Shapes Class 1"
"54",0.0486127401733723,0.125519380814873,"Limit Shapes Class 1"
"55",0.0495179446348038,0.127888111835195,"Limit Shapes Class 1"
"56",0.0504189021888017,0.130380361537859,"Limit Shapes Class 1"
"57",0.0513268782905938,0.132680520157642,"Limit Shapes Class 1"
"58",0.0522338995722287,0.134992845829723,"Limit Shapes Class 1"
"59",0.0531393162672154,0.137398339688242,"Limit Shapes Class 1"
"60",0.0540444060433182,0.139782569613551,"Limit Shapes Class 1"
"61",0.0549498229315474,0.142174057262202,"Limit Shapes Class 1"
"62",0.05603681448633,0.14503965743284,"Limit Shapes Class 1"
"63",0.0569424104794266,0.147426919152799,"Limit Shapes Class 1"
"64",0.0578481469646318,0.149786397888636,"Limit Shapes Class 1"
"65",0.05876811506582,0.15190315162137,"Limit Shapes Class 1"
"66",0.0596884249140704,0.153981544183661,"Limit Shapes Class 1"
"67",0.0605994213756459,0.1562465060638,"Limit Shapes Class 1"
"68",0.0615202191060784,0.158337440950445,"Limit Shapes Class 1"
"69",0.0626124336422111,0.161082205496985,"Limit Shapes Class 1"
"70",0.063524349485792,0.163311081805868,"Limit Shapes Class 1"
"71",0.0644423539482417,0.165437441044927,"Limit Shapes Class 1"
"72",0.065354789614844,0.167663646666444,"Limit Shapes Class 1"
"73",0.066268399968314,0.169902410224509,"Limit Shapes Class 1"
"74",0.0671754217083754,0.172229816604025,"Limit Shapes Class 1"
"75",0.0680781987557033,0.174664078513005,"Limit Shapes Class 1"
"76",0.0691713681532879,0.177367928507918,"Limit Shapes Class 1"
"77",0.0700910074026529,0.17948087493939,"Limit Shapes Class 1"
"78",0.0710055551605014,0.181668300993695,"Limit Shapes Class 1"
"79",0.0719204465099495,0.183840688516272,"Limit Shapes Class 1"
"80",0.0728366445304566,0.186013771223973,"Limit Shapes Class 1"
"81",0.0737520494567374,0.188189753844849,"Limit Shapes Class 1"
