"","V1","V2","V3","V4"
"1",0.000939737565686788,0.0049264925979764,1,1
"2",0.0050238137009182,0.0228304195967672,1,2
"3",0.00920861343174921,0.0401261601391572,1,3
"4",0.0136763096845403,0.0558023544672477,1,4
"5",0.0193238419745789,0.0750010654089815,1,5
"6",0.0234326814751341,0.0924926186703985,1,6
"7",0.0278634954784874,0.108182130477933,1,7
"8",0.0332378565042109,0.128588856506364,1,8
"9",0.037060326596225,0.147517192756515,1,9
"10",0.0415059289222753,0.162893366470299,1,10
"11",0.0457114909688418,0.179593000539797,1,11
"12",0.0507969670182409,0.201331310899868,1,12
"13",0.0550095060072576,0.217722905389897,1,13
"14",0.05932295035808,0.233411450901823,1,14
"15",0.0645236712978352,0.254036547491536,1,15
"16",0.0687322228820359,0.270237528583755,1,16
"17",0.072880511405305,0.286641519364697,1,17
"18",0.0783571673223923,0.305343343066686,1,18
"19",0.0826910502364509,0.320346933807887,1,19
"20",0.0870760164685809,0.335032239659375,1,20
"21",0.0914675193520694,0.349514513906156,1,21
"22",0.0968235480645202,0.368223406375984,1,22
"23",0.101227542457492,0.382412960687243,1,23
"24",0.105722728786461,0.395987133511636,1,24
"25",0.11129425592127,0.412898866903838,1,25
"26",0.115422614938674,0.428406814994039,1,26
"27",0.119771201355778,0.442290245581206,1,27
"28",0.125173881673505,0.459803095997849,1,28
"29",0.128940407721483,0.476915206212132,1,29
"30",0.133427218237552,0.489816080354354,1,30
"31",0.137674219492196,0.504105718424514,1,31
"32",0.143141401397346,0.520714444040659,1,32
"33",0.147417470833055,0.534394785722787,1,33
"34",0.151665635433169,0.548088422968375,1,34
"35",0.157229718565744,0.563594201402836,1,35
"36",0.161607333794049,0.576368354277044,1,36
"37",0.165918403157532,0.589444610448053,1,37
"38",0.169860344948356,0.604331008193655,1,38
"39",0.174702461305342,0.623559194990086,1,39
"40",0.178609846831399,0.638552768453523,1,40
"41",0.183009462468434,0.650314695742402,1,41
"42",0.188006263295043,0.668020284132084,1,42
"43",0.192330183418359,0.680204577305774,1,43
"44",0.196342366085894,0.694183799997663,1,44
"45",0.201535436695917,0.710183495883514,1,45
"46",0.221662833574532,0.727690263804678,1,46
"47",0.225673657976691,0.740361363822318,1,47
"48",0.229932633839654,0.751314222118088,1,48
"49",0.258427495134825,0.773239254952215,1,49
"50",0.277842263910408,0.789461506156664,1,50
"51",0.320157758167761,0.811623122318281,1,51
"52",0.393763454301206,0.841873911426489,1,52
"53",0.427434496672162,0.85928011697025,1,53
"54",0.514586701559469,0.882722217121776,1,54
"55",0.586017357965159,0.90358100976098,1,55
"56",0.670735026332242,0.926443145743146,1,56
"57",0.746947154182884,0.946812904555762,1,57
"58",0.85201111634358,0.969627417027417,1,58
"59",0.911835021584594,0.982377963306535,1,59
"60",0.956113801599304,0.991865306122449,1,60
"61",0.985534290271132,0.997073469387755,1,61
"62",0.992829888712242,0.9985,1,62
"63",1,1,1,63
"64",1,1,1,64
"65",1,1,1,65
"66",1,1,1,66
"67",1,1,1,67
"68",1,1,1,68
"69",1,1,1,69
"70",1,1,1,70
"71",1,1,1,71
"72",1,1,1,72
"73",1,1,1,73
"74",1,1,1,74
"75",1,1,1,75
"76",1,1,1,76
"77",1,1,1,77
"78",1,1,1,78
"79",1,1,1,79
"80",1,1,1,80
"81",1,1,1,81
"82",1,1,1,82
"83",1,1,1,83
"84",1,1,1,84
"85",1,1,1,85
"86",1,1,1,86
"87",1,1,1,87
"88",1,1,1,88
"89",1,1,1,89
"90",1,1,1,90
"91",1,1,1,91
"92",1,1,1,92
"93",1,1,1,93
"94",1,1,1,94
"95",1,1,1,95
"96",1,1,1,96
"97",1,1,1,97
"98",1,1,1,98
"99",1,1,1,99
"100",1,1,1,100
"101",1,1,1,101
"102",1,1,1,102
"103",1,1,1,103
"104",1,1,1,104
"105",1,1,1,105
"106",1,1,1,106
"107",1,1,1,107
"108",1,1,1,108
"109",1,1,1,109
"110",1,1,1,110
"111",1,1,1,111
"112",1,1,1,112
"113",1,1,1,113
"114",1,1,1,114
"115",1,1,1,115
"116",1,1,1,116
"117",1,1,1,117
"118",1,1,1,118
"119",1,1,1,119
"120",1,1,1,120
"121",1,1,1,121
"122",1,1,1,122
"123",1,1,1,123
"124",1,1,1,124
"125",1,1,1,125
"126",1,1,1,126
"127",1,1,1,127
"128",1,1,1,128
"129",1,1,1,129
"130",1,1,1,130
"131",1,1,1,131
"132",1,1,1,132
"133",1,1,1,133
"134",1,1,1,134
"135",1,1,1,135
"136",1,1,1,136
"137",1,1,1,137
"138",1,1,1,138
"139",1,1,1,139
"140",1,1,1,140
"141",1,1,1,141
"142",1,1,1,142
"143",1,1,1,143
"144",1,1,1,144
"145",1,1,1,145
"146",1,1,1,146
"147",1,1,1,147
"148",1,1,1,148
"149",1,1,1,149
"150",1,1,1,150
"151",1,1,1,151
"152",1,1,1,152
"153",1,1,1,153
"154",1,1,1,154
"155",1,1,1,155
"156",1,1,1,156
"157",1,1,1,157
"158",1,1,1,158
"159",1,1,1,159
"160",1,1,1,160
"161",1,1,1,161
