"V1","V2","V3"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
0.000932398466088266,0.021,"Baseline (EN Mean)"
0.00446571579768426,0.111078947368421,"Baseline (EN Mean)"
0.00811749677860224,0.197184210526316,"Baseline (EN Mean)"
0.0115992252609395,0.288236842105263,"Baseline (EN Mean)"
0.0160743027202006,0.397736842105263,"Baseline (EN Mean)"
0.0199784535691443,0.474842105263158,"Baseline (EN Mean)"
0.0239149059873659,0.550447368421053,"Baseline (EN Mean)"
0.0290848976969256,0.636,"Baseline (EN Mean)"
0.0334559330822588,0.6965,"Baseline (EN Mean)"
0.0377814409267647,0.7575,"Baseline (EN Mean)"
0.119372700853393,0.811,"Baseline (EN Mean)"
0.181833293146687,0.8745,"Baseline (EN Mean)"
0.366081817595591,0.92,"Baseline (EN Mean)"
0.501288635579843,0.951,"Baseline (EN Mean)"
0.700937318915511,0.982,"Baseline (EN Mean)"
0.851440763502439,0.9905,"Baseline (EN Mean)"
0.87996610841401,0.9955,"Baseline (EN Mean)"
0.945036047417517,0.999,"Baseline (EN Mean)"
0.96360428958667,0.999,"Baseline (EN Mean)"
0.981909352122293,1,"Baseline (EN Mean)"
0.982031004779253,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
1,1,"Baseline (EN Mean)"
0.00160511071325678,0,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
1,1,"Baseline (RR Max)"
