"X1","X2"
0.000361437495102588,0.0046205920543908
0.000413170552526282,0.0172128744588772
0.000464770139729584,0.026552909375262
0.000516503197153278,0.0391707934182533
0.000516503197153278,0.051642709910366
0.000619942562746569,0.0595196359865929
0.000619942562746569,0.0736548589303185
0.000723248458119468,0.0799436833680405
0.00082644766000304,0.0846116239072798
0.000929753555375938,0.0941695167477287
0.000929753555375938,0.10226047391325
0.000981406447937922,0.106909954088676
0.00103313950536162,0.114950508028391
0.00103313950536162,0.119713212841499
0.00108473909256492,0.12893288184551
0.00108473909256492,0.136851430423664
0.101084739092565,0.230066259916754
0.101084739092565,0.233292066368367
0.10118799157233,0.241121643959745
0.200981059342635,0.338547821405156
0.201084338626566,0.343197301580583
0.201135911602326,0.347912657908843
0.301084418736089,0.43337092723808
0.301136205375137,0.441313729467139
0.301342977441038,0.444539535918752
0.301342977441038,0.450653764383524
0.301342977441038,0.458505088821246
0.301342977441038,0.464957541122456
0.501032818762287,0.625302718628836
0.501032818762287,0.626942062891131
0.501032818762287,0.631781611966534
0.50108441834949,0.634936107743981
0.50108441834949,0.638090603521427
0.501136071242052,0.641317249371024
0.600877806779242,0.722719298446427
0.600877806779242,0.725971545934528
0.600877806779242,0.729198191784125
0.700567568930225,0.809697564906449
0.700567568930225,0.811284866493751
0.700567568930225,0.812924210756046
0.700567568930225,0.812924210756046
0.700567568930225,0.814511512343347
0.700567568930225,0.816098813930649
0.700567568930225,0.820938363006052
0.700567568930225,0.820938363006052
0.700567568930225,0.822551266231859
0.700567568930225,0.82413856781916
0.700567568930225,0.825751471044967
0.700567568930225,0.829003718533068
0.700567568930225,0.830643062795363
0.700567568930225,0.832230364382665
0.700567568930225,0.83386970864496
0.700567568930225,0.837121956133061
0.700567568930225,0.840374203621163
0.700567568930225,0.842013547883458
0.700567568930225,0.843626451109264
0.700567568930225,0.84526579537156
0.700567568930225,0.846905139633855
0.700567568930225,0.84854448389615
0.700619195156348,0.84854448389615
0.700619195156348,0.850157387121956
0.800412796807534,0.906583398386677
0.800412796807534,0.908170699973979
0.800412796807534,0.908170699973979
0.900206291903043,0.959016393442623
0.900206291903043,0.959016393442623
0.900206291903043,0.960655737704918
0.900206291903043,0.960655737704918
0.900257864878803,0.960655737704918
0.900257864878803,0.960655737704918
0.900257864878803,0.962295081967213
0.900257864878803,0.962295081967213
0.900257864878803,0.962295081967213
0.900257864878803,0.962295081967213
0.900309437854564,0.962295081967213
0.900309437854564,0.962295081967213
0.900309437854564,0.962295081967213
0.900309437854564,0.962295081967213
0.900309437854564,0.962295081967213
0.900309437854564,0.962295081967213
0.900309437854564,0.962295081967213
0.900309437854564,0.962295081967213
0.900309437854564,0.962295081967213
0.900309437854564,0.962295081967213
0.900309437854564,0.962295081967213
0.900309437854564,0.963934426229508
0.900309437854564,0.963934426229508
0.900361010830325,0.963934426229508
0.900361010830325,0.963934426229508
0.900361010830325,0.963934426229508
0.900361010830325,0.963934426229508
0.900361010830325,0.965573770491803
0.900361010830325,0.965573770491803
0.900361010830325,0.965573770491803
0.900361010830325,0.967213114754098
0.900361010830325,0.967213114754098
0.900361010830325,0.967213114754098
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
